CJS Offence Code,Offence Title,Legislation,Offence Category Code,Custodial Indicator,Recordable On PNC Indicator,DVLA Code,Offence Start Date,Blocked for use,XHB Indicator,Offence Class
AL19001,Person subject to the Aliens Restrictions (Amendment) Act 1919 cause sedition,Contrary to section 3(1) of the Aliens Restrictions (Amendment) Act 1919.,CE,Y,Y,,02-Jan-19,N,N,3
AL19002,Person subject to the Aliens Restrictions (Amendment) Act 1919 cause disaffection,Contrary to section 3(1) of the Aliens Restrictions (Amendment) Act 1919.,CE,Y,Y,,02-Jan-19,N,N,3
AL19003,Person subject to the Aliens Restrictions (Amendment) Act 1919 cause industrial unrest,Contrary to section 3(2) of the Aliens Restrictions (Amendment) Act 1919.,CS,Y,Y,,03-Jan-19,N,N,S
AL19006,Unlawfully employ a person subject to the Aliens Restrictions (Amendment) Act 1919 in the Civil Service,Contrary to section 6 of the Aliens Restrictions (Amendment) Act 1919.,CS,Y,Y,,02-Jan-19,N,N,S
AL81001,Failed to comply with information notice relating to acquisition of land,Contrary to section 5B(1) and (5) of the Acquisition of Land Act 1981.,CS,N,N,,01-Nov-04,N,N,S
AB06001,Obstruct person acting in execution of the regulations,,CS,N,N,,12-May-06,N,N,S
AB13002,Intentionally obstruct an authorised person,Contrary to regulations 18(a) and 20 of the Animal By-Products (Enforcement) (England) Regulations 2013.,CE,Y,Y,,13-Mar-15,N,N,3
AB13003,Fail to give to an authorised person information / assistance / provide facilities that person may require,Contrary to regulations 18(b) and 20 of the Animal By-Products (Enforcement) (England) Regulations 2013.,CE,Y,Y,,13-Mar-15,N,N,3
AB13004,Knowingly / recklessly give false / misleading information to an authorised person,Contrary to regulations 18(c) and 20 of the Animal By-Products (Enforcement) (England) Regulations 2013.,CE,Y,Y,,13-Mar-15,N,N,3
AB13005,Fail to produce a record / document when required by an authorised person,Contrary to regulations 18(d) and 20 of the Animal By-Products (Enforcement) (England) Regulations 2013.,CE,Y,Y,,13-Mar-15,N,N,3
AB13006,Contravene/fail to comply with provisions of a notice served under regulation 25,Contrary to regulations 25(5) and 20 of the Animal By-Product (Enforcement) (England) Regulations 2013. ,CE,Y,Y,,12-Dec-13,N,N,3
AB14001,Fail to comply with an animal by-product requirement,Contrary to regulations 17 and 20 of the Animal By-Products (Enforcement) (Wales) Regulations 2014.,CE,Y,Y,,13-Mar-15,N,N,3
AB14002,Intentionally obstruct an authorised person,Contrary to regulations 18(a) and 20 of the Animal By-Products (Enforcement) (Wales) Regulations 2014.,CE,Y,Y,,13-Mar-15,N,N,3
AB14003,Fail to give to an authorised person information / assistance / provide facilities that person may require,Contrary to regulation 18(b) and 20 of the Animal By-Products (Enforcement) (Wales) Regulations 2014.,CE,Y,Y,,13-Mar-15,N,N,3
AB14004,Knowingly / recklessly give false / misleading information to an authorised person,Contrary to regulation 18(c) and 20 of the Animal By-Products (Enforcement) (Wales) Regulations 2014.,CE,Y,Y,,13-Mar-15,N,N,3
AB14005,Fail to produce a record / document when required by an authorised person,Contrary to regulation 18(d) and 20 of the Animal By-Products (Enforcement) (Wales) Regulations 2014.,CE,Y,Y,,13-Mar-15,N,N,3
AB14006,Contravene / fail to comply with the provisions of animal by-product notice,Contrary to regulations 25(5) and 20 of the Animal By-Products (Enforcement) (Wales) Regulations 2014.,CE,Y,Y,,13-Mar-15,N,N,3
AB63002,Keep an animal boarding establishment without a licence,Contrary to sections 1(1) and (8) and 3 of the Animal Boarding Establishments Act 1963.,CS,Y,Y,,23-Aug-05,N,N,S
AB63003,Contravene a condition subject to which a licence to keep an animal boarding establishment was granted,Contrary to sections 1(8) and 3 of the Animal Boarding Establishments Act 1963.,CS,Y,Y,,23-Aug-05,N,N,S
AB63004,Wilfully obstruct / delay a person exercising powers of entry / inspection of an animal boarding establishment,Contrary to section 2(2) of the Animal Boarding Establishments Act 1963.,CS,N,N,,22-Aug-05,N,N,S
AC02001,Contravene / fail to comply with a provision of regulations made under s.9,Contrary to section 9 of the Adoption and Children Act 2002.,CS,N,N,,12-Mar-15,N,N,S
AC02002,Remove a child placed for adoption by adoption agency under s.19 from prospective adopters,Contrary to section 30(1)(a) and (8) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02003,Remove a child under 6 weeks placed for adoption by adoption agency / placed without authority from prospective adopters,Contrary to section 30(1)(b) and (8) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
